Label,WordQty,W2,W4,W5,P4,P5,P6
0,272,153.70,111.52,120.65,7.29,7.63,8.16
1,1745,112.45,64.94,66.55,8.66,8.88,9.48
0,1250,151.31,132.00,146.41,8.23,8.61,9.08
1,2280,121.30,55.10,49.68,8.23,8.38,8.80
1,661,112.16,54.09,53.06,7.03,7.00,7.63
0,1544,139.33,108.78,119.87,8.21,8.53,9.02
1,536,217.99,160.85,170.39,6.69,6.81,7.03
0,2467,145.53,119.16,128.69,8.86,9.11,9.87
0,480,149.85,119.15,130.40,7.82,7.99,8.53
1,7558,188.84,152.15,158.70,8.43,8.64,9.16
0,581,158.56,129.31,141.74,7.85,8.04,8.50
0,5332,152.39,125.55,134.90,8.42,8.74,9.36
0,525,138.10,108.29,116.94,7.85,8.14,8.65
1,473,117.03,84.38,92.84,7.40,7.45,7.92
